DAP,LAID_DSSAT,LAID_Python,LAID_Diff,LWAD_DSSAT,LWAD_Python,LWAD_Diff,SWAD_DSSAT,SWAD_Python,SWAD_Diff,GWAD_DSSAT,GWAD_Python,GWAD_Diff,RWAD_DSSAT,RWAD_Python,RWAD_Diff,VWAD_DSSAT,VWAD_Python,VWAD_Diff,G#AD_DSSAT,G#AD_Python,G#AD_Diff,RDPD_DSSAT,RDPD_Python,RDPD_Diff
13,0.084,0.07487799173011177,0.009122008269888238,58,52.494697351238564,5.505302648761436,136,150.31586070315413,-14.31586070315413,0,0.0,0.0,101,106.80590757871916,-5.805907578719157,194,202.81055805439271,-8.810558054392715,0,0.0,0.0,0.44,0.45,-0.010000000000000009
14,0.092,0.08154702066993962,0.010452979330060383,62,56.19291987087665,5.807080129123349,142,155.46824723452195,-13.468247234521954,0,0.0,0.0,106,110.8762411053373,-4.8762411053373,204,211.6611671053986,-7.66116710539859,0,0.0,0.0,0.47,0.475,-0.0050000000000000044
15,0.1,0.08894172559433079,0.011058274405669213,67,60.57388501636621,6.426114983633788,148,161.19834862958737,-13.198348629587372,0,0.0,0.0,112,115.33793264501243,-3.3379326450124296,216,221.77223364595358,-5.772233645953577,0,0.0,0.0,0.49,0.5,-0.010000000000000009
16,0.109,0.0964390303997255,0.012560969600274502,73,65.27078800196618,7.7292119980338185,155,167.3915167425061,-12.391516742506099,0,0.0,0.0,118,120.413562183036,-2.4135621830360066,228,232.6623047444723,-4.662304744472294,0,0.0,0.0,0.52,0.525,-0.0050000000000000044
17,0.118,0.10347950495562816,0.014520495044371834,80,70.5014867463545,9.498513253645498,162,173.74642396057766,-11.746423960577658,0,0.0,0.0,125,125.5278324569202,-0.5278324569201942,242,244.24791070693217,-2.247910706932174,0,0.0,0.0,0.54,0.55,-0.010000000000000009
18,0.127,0.11128765260180094,0.01571234739819906,86,75.71846266044065,10.28153733955935,170,180.29880469831502,-10.298804698315024,0,0.0,0.0,132,131.7336052772599,0.26639472274010245,256,256.0172673587557,-0.017267358755702844,0,0.0,0.0,0.56,0.575,-0.014999999999999902
19,0.138,0.12116033330759819,0.01683966669240182,93,81.73291713024125,11.267082869758752,177,187.1722308126278,-10.172230812627788,0,0.0,0.0,139,138.31938273867806,0.6806172613219417,269,268.905147942869,0.09485205713099276,0,0.0,0.0,0.58,0.6,-0.020000000000000018
20,0.149,0.13243877643813448,0.016561223561865512,99,87.97975121842201,11.02024878157799,183,193.6892843428845,-10.689284342884491,0,0.0,0.0,146,144.37818890142705,1.6218110985729481,282,281.66903556130654,0.3309644386934565,0,0.0,0.0,0.61,0.625,-0.015000000000000013
21,0.16,0.14388640514038653,0.016113594859613473,105,93.74970585477374,11.250294145226263,188,199.61543797907015,-11.615437979070151,0,0.0,0.0,153,150.43503760390368,2.5649623960963197,293,293.3651438338439,-0.36514383384388793,0,0.0,0.0,0.63,0.65,-0.020000000000000018
22,0.177,0.15573030298176918,0.02126969701823081,113,99.41362384535981,13.586376154640192,196,206.01289083815843,-10.012890838158427,0,0.0,0.0,163,159.8448316717274,3.1551683282725946,310,305.42651468351823,4.573485316481765,0,0.0,0.0,0.66,0.675,-0.015000000000000013
23,0.188,0.1631536761119909,0.024846323888009114,124,105.66248835320638,18.337511646793615,205,211.53072239975174,-6.530722399751738,0,0.0,0.0,175,165.1269810532321,9.8730189467679,329,317.1932107529581,11.806789247041877,0,0.0,0.0,0.68,0.7,-0.019999999999999907
24,0.201,0.17062851389659692,0.030371486103403095,134,111.68597426294056,22.31402573705944,215,216.84193207101708,-1.8419320710170837,0,0.0,0.0,188,170.16947806942184,17.830521930578158,349,328.5279063339577,20.472093666042326,0,0.0,0.0,0.69,0.725,-0.03500000000000003
25,0.216,0.17918617122474972,0.036813828775250274,145,117.97988769932643,27.020112300673574,224,222.73579392596025,1.2642060740397483,0,0.0,0.0,201,177.03019043091464,23.969809569085356,369,340.71568162528666,28.284318374713337,0,0.0,0.0,0.71,0.75,-0.040000000000000036
26,0.231,0.18884461593305815,0.04215538406694186,155,124.21500935787654,30.78499064212346,233,229.187828310545,3.812171689454999,0,0.0,0.0,213,186.47817764991294,26.521822350087064,388,353.4028376684215,34.59716233157849,0,0.0,0.0,0.73,0.775,-0.04500000000000004
27,0.249,0.20481979659953614,0.04418020340046386,165,132.3211311696496,32.67886883035041,242,237.0381510711653,4.961848928834712,0,0.0,0.0,224,197.077534834494,26.922465165505997,406,369.35928224081493,36.640717759185065,0,0.0,0.0,0.76,0.8,-0.040000000000000036
28,0.267,0.22266637057170818,0.04433362942829183,173,141.35152254885915,31.64847745114085,250,245.30261477587922,4.697385224120779,0,0.0,0.0,234,206.9460703350015,27.053929664998492,423,386.6541373247384,36.34586267526163,0,0.0,0.0,0.78,0.825,-0.04499999999999993
29,0.285,0.23592120545782383,0.049078794542176146,185,149.91492805571966,35.085071944280344,260,253.89034069544067,6.1096593045593295,0,0.0,0.0,248,219.45901884994578,28.540981150054222,446,403.8052687511604,42.19473124883962,0,0.0,0.0,0.81,0.85,-0.039999999999999925
30,0.301,0.2518293011369741,0.049170698863025886,195,160.0320037217344,34.96799627826559,269,262.6458450292249,6.354154970775085,0,0.0,0.0,260,228.37825572731413,31.621744272685874,464,422.6778487509593,41.3221512490407,0,0.0,0.0,0.83,0.875,-0.04500000000000004
31,0.313,0.2632447869527293,0.04975521304727071,201,166.17568831518685,34.82431168481315,274,267.9424182398798,6.057581760120172,0,0.0,0.0,266,232.31651585612695,33.683484143873045,475,434.1181065550667,40.881893444933326,0,3.226239002996116,-3.226239002996116,0.85,0.9,-0.050000000000000044
32,0.334,0.27713895084657303,0.05686104915342699,214,174.96146717755678,39.038532822443216,287,277.2001221350667,9.799877864933308,0,0.0,0.0,282,247.1536194536408,34.8463805463592,501,452.16158931262345,48.83841068737655,0,13.777651831282295,-13.777651831282295,0.87,0.925,-0.05500000000000005
33,0.356,0.29729638578665657,0.058703614213343414,229,188.2821699314465,40.717830068553496,300,289.20301452401054,10.796985475989459,0,0.0,0.0,299,261.9735843448638,37.02641565513619,529,477.48518445545704,51.514815544542955,0,27.86928446653181,-27.86928446653181,0.9,0.95,-0.04999999999999993
34,0.378,0.3159478596282953,0.0620521403717047,244,201.82804564553996,42.17195435446004,314,301.5955305026297,12.404469497370314,0,0.0,0.0,317,277.83551466407334,39.164485335926656,558,503.4235761481697,54.57642385183033,0,42.22126255097185,-42.22126255097185,0.92,0.975,-0.05499999999999994
35,0.398,0.335601240976922,0.06239875902307801,259,216.36383078357827,42.636169216421735,328,314.4358435539359,13.56415644606409,0,0.015070142973473024,-0.015070142973473024,334,292.8543891790531,41.1456108209469,587,530.7996743375141,56.20032566248585,77,53.399767747369935,23.600232252630065,0.94,1.0,-0.06000000000000005
36,0.413,0.3511986789657315,0.0618013210342685,268,225.59940508145516,42.40059491854484,336,322.3010901608382,13.698909839161786,0,0.07653332810094632,-0.07653332810094632,344,299.34105142155784,44.658948578442164,603,547.9004952422933,55.099504757706654,110,66.04983937849812,43.95016062150188,0.96,1.025,-0.06499999999999995
37,0.435,0.36903254947030784,0.06596745052969216,283,238.36770341973568,44.632296580264324,350,333.888175662246,16.111824337754,1,0.19910709455397457,0.8008929054460254,362,313.3116919930252,48.68830800697481,633,572.2558790819817,60.744120918018325,137,82.61294999477276,54.38705000522724,0.98,1.05,-0.07000000000000006
38,0.456,0.3916265808417672,0.0643734191582328,296,251.98808587329017,44.011914126709826,362,346.8270573736407,15.172942626359315,1,0.38481685692503553,0.6151831430749645,377,331.1372135094459,45.86278649055407,658,598.8151432469309,59.184856753069084,185,90.5794547548681,94.4205452451319,1.0,1.075,-0.07499999999999996
39,0.468,0.41538782398974144,0.05261217601025858,300,262.670103850471,37.32989614952902,367,355.882844956604,11.117155043395996,2,0.6157053278450613,1.3842946721549387,381,338.74169994555405,42.258300054445954,667,618.552948807075,48.44705119292496,237,107.2167048600928,129.78329513990718,1.03,1.1,-0.07000000000000006
40,0.475,0.42084136495654545,0.05415863504345453,304,265.7679313170003,38.23206868299968,370,358.5639447832637,11.436055216736293,2,0.8321993067858678,1.167800693214132,384,337.58157175373213,46.418428246267865,674,624.331876100264,49.668123899735974,281,131.3699167976147,149.6300832023853,1.05,1.125,-0.07499999999999996
41,0.492,0.42910883623471857,0.06289116376528142,318,273.00983972452747,44.99016027547253,383,364.7223409108871,18.277659089112888,3,0.9854674567157141,2.014532543284286,400,341.18802556536286,58.811974434637136,701,637.7321806354146,63.26781936458542,281,141.21956936018213,139.78043063981787,1.06,1.15,-0.08999999999999986
