*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2014 352    79    70   2435 14.5887  0.1783  9.5975  3.3514  0.5570 0.16084  4.153  6.979 17.244 11.934  4.5380  3.0482 59.7448
 2014 353    80    71   2513 14.7969  0.2164  9.9758  3.2091  0.7650 0.16655  4.165  7.012 20.086 14.842  4.5314  3.1600 59.6411
 2014 354    81    72   2584 14.6128  0.2498  9.8541  3.0364  1.0213 0.15703  4.171  7.012 22.949 17.806  4.5310  3.4430 59.3319
 2014 355    82    73   2621  9.9994  0.2800  7.0510  1.8073  1.0445 0.09608  4.158  6.930 23.624 19.550  4.5393  3.7264 58.9757
 2014 356    83    74   2582  9.6703  0.3040  6.5712  1.7150  1.2898 0.08490  4.134  6.826 25.242 22.303  4.5993  2.6840 60.7289
 2014 357    84    75   2619 10.5764  0.2913  6.9429  1.9619  1.3981 0.10408  4.114  6.745 26.237 23.131  4.6245  3.2601 59.7065
 2014 358    85    76   2602  8.2994  0.2970  5.8165  1.3414  1.2382 0.07634  4.088  6.633 25.358 22.286  4.6384  2.6995 60.6303
 2014 359    86    77   2646 10.3837  0.2353  6.9124  2.2334  0.6482 0.11389  4.078  6.601 17.254 14.649  4.6132  2.8548 60.3788
 2014 360    87    78   2689 10.2213  0.2477  7.1051  2.0475  0.7226 0.11146  4.069  6.558 19.138 15.396  4.5915  3.0378 60.1127
 2014 361    88    79   2738 12.3966  0.2984  8.3618  2.3705  1.2910 0.11855  4.056  6.493 24.471 21.096  4.5978  3.5215 59.3671
 2014 362    89    80   2800 14.4097  0.2941  9.4580  2.9342  1.3229 0.14347  4.049  6.459 24.608 20.498  4.5972  3.8256 58.9202
 2014 363    90    81   2728 13.8623  0.3020  9.3077  2.7466  1.2758 0.13057  4.040  6.410 24.131 20.053  4.5894  3.0243 60.0465
 2014 364    91    82   2729  4.3365  0.0000  3.0073  0.2934  0.8200 0.38865  4.216  6.707 20.037 18.667  4.5765  3.4763 59.4505
 2014 365    92    83   2737  5.5943  0.2948  4.0950  0.9260  0.7070 0.02978  4.175  6.555 17.806 16.703  4.5594  3.6532 59.2327
