*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2017 060   153   144      0.2      7.2      1.1     87.9     10.0       30     47.0    497.7    130.8      0.0    539.0      0.0   6369.3    45590     3369    932.1    149.1      0.0  39808.1      427   3302.8     41.3     18.3      0.0
 2017 061   154   145      0.2      8.2      1.3     88.8     10.0       31     50.6    607.2    130.5    130.5    661.9    152.4   6521.7    46250     4137    952.7    152.4    952.7  40760.8      433   3737.0     54.7     21.9     21.9
 2017 062   155   146      0.2      8.0      1.3     89.6     10.0       31     49.4    591.9      0.0      0.0    635.2      0.0   6521.7    46890     3970      0.0      0.0      0.0  40760.8      433   3380.5     43.3      0.0      0.0
 2017 063   156   147      0.2      8.6      1.4     90.3     10.0       31     53.3    677.9    148.6      0.0    730.8      0.0   6521.7    47620     4568   1024.3    163.9      0.0  40760.8      437   4010.6     53.0     15.3      0.0
 2017 064   157   148      0.2      9.3      1.5     91.2     10.0       31     57.9    795.1    303.8      0.0    863.8      0.0   6521.7    48480     5399   2127.2    340.3      0.0  40760.8      445   4464.6     68.7     36.5      0.0
 2017 065   158   149      0.2      9.9      1.6     92.0     10.0       32     62.2    899.9    410.9    410.9    985.1    463.7   6985.4    49470     6157   2897.8    463.7   2897.8  43658.7      456   4817.8     85.1     52.8     52.8
 2017 066   159   150      0.2      7.4      1.2     92.8     10.0       32     55.0    603.0     64.8      0.0    646.4      0.0   6985.4    50120     4040    452.4     72.4      0.0  43658.7      458   3592.6     43.4      7.6      0.0
 2017 067   160   151      0.2      8.2      1.3     93.6     10.0       32     58.3    708.5    156.6      0.0    765.7      0.0   6985.4    50890     4786   1099.1    175.9      0.0  43658.7      463   4186.0     57.3     19.3      0.0
 2017 068   161   152      0.2      9.1      1.4     94.4     10.0       33     60.9    809.9    256.1    256.1    882.8    289.0   7274.4    51770     5517   1806.5    289.0   1806.5  45465.1      471   4919.1     72.9     32.9     32.9
 2017 069   162   153      0.2      8.0      1.3     95.3     10.0       33     57.4    678.4    127.0      0.0    733.7      0.0   7274.4    52500     4586    881.0    141.0      0.0  45465.1      475   4443.0     55.3     13.9      0.0
 2017 070   163   154      0.2      9.0      1.4     96.1     10.0       33     60.6    800.7    275.8      0.0    872.9      0.0   7274.4    53370     5455   1928.6    308.6      0.0  45465.1      483   5093.2     72.1     32.7      0.0
 2017 071   164   155      0.2      9.6      1.5     96.9     10.0       33     62.7    871.0    385.2      0.0    964.5      0.0   7274.4    54330     6028   2719.1    435.1      0.0  45465.1      494   5659.7     93.5     49.8      0.0
 2017 072   165   156      0.2     11.4      1.8     97.8     10.0       34     56.2    908.8    470.5    470.5   1024.9    536.7   7811.1    55350     6405   3354.5    536.7   3354.5  48819.6      507   5659.7    116.1     66.2     66.2
 2017 073   166   157      0.2      7.9      1.3     98.8     10.0       34     47.5    541.3    246.9      0.0    601.0      0.0   7811.1    55950     3756   1711.4    273.8      0.0  48819.6      514   4051.1     59.7     27.0      0.0
 2017 074   167   158      0.2      8.1      1.3     99.2     10.0       34     50.0    581.2    246.7      0.0    646.4      0.0   7811.1    56600     4040   1719.4    275.1      0.0  48819.6      521   4051.1     65.2     28.4      0.0
 2017 075   168   159      0.2      8.5      1.4     99.6     10.0       35     51.7    631.9    246.3    246.3    703.6    276.5   8087.6    57300     4398   1728.0    276.5   1728.0  50547.6      528   4606.1     71.7     30.1     30.1
 2017 076   169   160      0.2      6.7      1.1    100.1     10.0       35     46.6    446.7    147.0      0.0    496.1      0.0   8087.6    57800     3100   1033.9    165.4      0.0  50547.6      533   3542.6     49.4     18.4      0.0
 2017 077   170   161      0.2      7.1      1.1    100.8     10.0       35     50.8    515.8    246.9      0.0    575.1      0.0   8087.6    58380     3594   1770.4    283.3      0.0  50547.6      542   4009.0     59.3     36.3      0.0

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:30:15

*RUN   4        : Radiance                  CRGRO048 UFBA1701    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1701 SR 2017 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2017 313    40    31      0.0      0.0      0.0      0.0     10.0        0      0.0      0.0      0.0      0.0      0.0      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 314    41    32      0.0      0.0      0.0      0.9     10.0        0      0.1      0.0      0.0      0.0      0.0      0.0      0.0        0        0      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 315    42    33      0.2      0.2      0.0      1.8     10.0        0      0.3      0.1      0.0      0.0      0.1      0.0      0.0        0        1      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
 2017 316    43    34      0.2      0.6      0.1      2.6     10.0        0      0.5      0.4      0.0      0.0      0.4      0.0      0.0        0        3      0.0      0.0      0.0      0.0        0      0.0      0.0      0.0      0.0
