*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2014 341    68    59    39.8     0.2    38.1    4.59    3.33      0.0     0.0    22.6    15.5    4.18    2.57     3.3    2.0    0.9    5.97    4.02
 2014 342    69    60    39.3     0.1    38.0    4.56    3.32      0.0     0.0    22.6    15.4    4.17    2.56     3.3    2.0    0.4    6.69    4.16
 2014 343    70    61    41.4     0.2    39.8    4.55    3.36      0.0     0.0    23.7    16.1    4.21    2.58     3.3    2.0    2.9    6.77    4.28
 2014 344    71    62    43.2     0.2    41.4    4.56    3.37      0.0     0.0    24.7    16.7    4.22    2.59     3.3    2.0    2.6    6.86    4.37
 2014 345    72    63    44.4     0.1    43.1    4.56    3.37      0.0     0.0    25.8    17.3    4.22    2.60     3.3    2.0    2.6    7.49    4.47
 2014 346    73    64    45.4     0.1    44.0    4.56    3.38      0.0     0.0    26.3    17.7    4.22    2.60     3.3    2.0    1.4    7.56    4.56
 2014 347    74    65    47.3     0.2    45.7    4.56    3.38      0.0     0.0    27.3    18.3    4.23    2.61     3.3    2.0    2.7    7.63    4.67
 2014 348    75    66    49.2     0.2    47.3    4.56    3.39      0.0     0.0    28.4    18.9    4.23    2.61     3.3    2.0    2.6    7.75    4.79
 2014 349    76    67    50.5     0.2    48.9    4.56    3.39      0.0     0.0    29.3    19.5    4.23    2.61     3.3    2.0    2.5    8.26    4.91
 2014 350    77    68    52.3     0.2    50.4    4.55    3.39      0.0     0.0    30.3    20.1    4.23    2.62     3.3    2.0    2.6    8.41    5.05
 2014 351    78    69    53.8     0.3    51.6    4.54    3.39      0.0     0.0    31.0    20.5    4.22    2.61     3.3    2.0    2.2    8.57    5.23
 2014 352    79    70    55.3     0.2    53.3    4.54    3.40      0.0     0.0    32.1    21.2    4.23    2.62     3.3    2.0    2.8    9.16    5.37
 2014 353    80    71    57.1     0.3    54.7    4.53    3.40      0.0     0.0    33.0    21.7    4.23    2.62     3.3    2.0    2.6    9.31    5.55
 2014 354    81    72    58.8     0.4    55.9    4.53    3.39      0.0     0.0    33.7    22.2    4.22    2.61     3.3    2.0    2.4    9.50    5.76
 2014 355    82    73    59.7     0.5    56.0    4.54    3.38      0.0     0.0    33.8    22.2    4.21    2.60     3.3    2.0    1.3    9.71    6.00
 2014 356    83    74    58.4     0.3    56.1    4.60    3.37      0.0     0.0    33.9    22.3    4.20    2.59     3.3    2.0    1.3   11.72    6.25
 2014 357    84    75    59.4     0.4    56.5    4.62    3.36      0.0     0.0    34.1    22.4    4.20    2.58     3.3    2.0    1.5   11.93    6.51
 2014 358    85    76    58.8     0.3    56.4    4.64    3.35      0.0     0.0    34.0    22.4    4.19    2.56     3.3    2.0    0.9   13.13    6.76
 2014 359    86    77    60.1     0.3    57.1    4.61    3.35      0.0     0.0    34.5    22.6    4.19    2.57     3.3    2.0    1.8   13.33    6.95
 2014 360    87    78    61.2     0.4    57.6    4.59    3.35      0.0     0.0    34.8    22.8    4.19    2.56     3.3    2.0    1.6   13.53    7.15
 2014 361    88    79    62.5     0.6    57.9    4.60    3.34      0.0     0.0    35.0    23.0    4.18    2.55     3.3    2.0    1.9   13.78    7.40
 2014 362    89    80    64.3     0.7    58.6    4.60    3.34      0.0     0.0    35.4    23.2    4.19    2.55     3.3    2.0    2.4   14.02    7.65
 2014 363    90    81    63.1     0.4    59.1    4.59    3.33      0.0     0.0    35.7    23.4    4.18    2.54     3.3    1.9    2.2   16.66    7.89
 2014 364    91    82    63.0     0.6    58.2    4.58    3.30      0.0     0.0    35.1    23.1    4.16    2.51     3.3    1.9    0.0   16.89    8.14
 2014 365    92    83    63.5     0.8    57.7    4.56    3.29      0.0     0.0    34.8    22.9    4.16    2.50     3.3    1.9    0.7   17.10    8.36
 2015 001    93    84    63.5     0.8    57.7    4.56    3.29      0.0     0.0    34.8    22.9    4.16    2.50     3.3    1.9    0.7   17.10    8.36
