*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2014 321    48    39      0.2      7.3      1.2      7.9     10.0        0      2.3     24.8      0.0      0.0     26.6      0.0      0.0       90      166      0.0      0.0      0.0      0.0        0    236.9      1.8      0.0      0.0
 2014 322    49    40      0.2      8.1      1.3      8.4     10.0        0      2.3     28.2      0.0      0.0     30.5      0.0      0.0      120      191      0.0      0.0      0.0      0.0        0    281.4      2.3      0.0      0.0
 2014 323    50    41      0.2      8.7      1.4      8.8     10.0        0      2.4     30.6      0.0      0.0     33.3      0.0      0.0      150      208      0.0      0.0      0.0      0.0        0    281.4      2.6      0.0      0.0
 2014 324    51    42      0.2      9.6      1.5      9.3     10.0        0      2.4     34.2      0.0      0.0     37.3      0.0      0.0      190      233      0.0      0.0      0.0      0.0        0    321.6      3.2      0.0      0.0
 2014 325    52    43      0.2     11.3      1.8     10.1     10.0        0      2.5     41.3     14.7      0.0     45.5      0.0      0.0      240      284    102.7     16.4      0.0      0.0        0    334.9      4.2      1.7      0.0
 2014 326    53    44      0.2     12.8      2.0     11.0     10.0        0      2.8     50.7     22.7      0.0     56.3      0.0      0.0      300      352    159.6     25.5      0.0      0.0        1    343.4      5.6      2.8      0.0
 2014 327    54    45      0.2     14.4      2.3     11.7     10.0        0      2.9     60.0     25.4      0.0     66.9      0.0      0.0      370      418    178.9     28.6      0.0      0.0        2    356.1      7.0      3.2      0.0
 2014 328    55    46      0.2     16.2      2.6     12.4     10.0        1      2.9     67.7     31.9     31.9     76.1     36.3     36.3      450      475    227.1     36.3    227.1    227.1        3    373.6      8.4      4.4      4.4
 2014 329    56    47      0.2     13.1      2.1     13.1     10.0        1      2.3     42.9     10.3      0.0     47.9      0.0     36.3      500      299     73.1     11.7      0.0    227.1        3    259.3      5.0      1.4      0.0
 2014 330    57    48      0.2     13.2      2.1     13.8     10.0        1      2.5     47.7     22.2      0.0     53.4      0.0     36.3      550      334    156.7     25.1      0.0    227.1        4    275.3      5.6      2.9      0.0
