*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 03:16:06

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
!                                                                                                                                                                                                                                                           Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                           0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RLAD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2014 327    54    45   18.7      5  0.564    358    421      7    444    780    847    356     2.0  0.008     67      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  10.42   0.08      0     67  157.4   0.16   0.29    0.0   1.15     46    1.39    1.24    0.67    0.45    0.30    0.14    0.02    0.00    0.00       90     105
 2014 328    55    46   19.0      5  0.584    367    430      4    453    798    801    374     1.1  0.005      3      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.22  99.99   0.00      0      3  158.9   0.16   0.29    0.0   1.17     47    1.41    1.26    0.68    0.46    0.31    0.15    0.02    0.00    0.00       95     111
 2014 329    56    47   19.3      5  0.591    368    432      5    453    800    812    259     1.9  0.006     12      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.20  42.86   0.01      0     12  160.4   0.17   0.30    0.0   1.20     47    1.40    1.25    0.68    0.46    0.31    0.15    0.03    0.00    0.00      102     117
 2014 330    57    48   19.5      5  0.603    375    438      6    459    813    830    275     2.0  0.007     17      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.21  33.11   0.02      0     17  160.9   0.17   0.30    0.0   1.22     47    1.41    1.26    0.69    0.47    0.32    0.15    0.03    0.00    0.00      106     122
 2014 331    58    49   19.7      5  0.629    395    457      6    481    852    873    290     2.1  0.007     22      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  28.80   0.02      0     22  159.3   0.17   0.30    0.0   1.24     50    1.45    1.31    0.72    0.49    0.34    0.16    0.03    0.00    0.00      109     126
 2014 332    59    50   19.9      5  0.651    416    476      7    505    892    917    290     2.3  0.007     24      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.24  27.22   0.03      0     24  156.6   0.17   0.31    0.0   1.25     52    1.50    1.36    0.75    0.51    0.35    0.18    0.04    0.00    0.00      112     129
 2014 333    60    51   20.1      5  0.679    436    495      7    528    932    961    322     2.3  0.008     29      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  25.18   0.03      0     29  155.6   0.17   0.31    0.0   1.27     54    1.55    1.40    0.78    0.54    0.37    0.19    0.05    0.00    0.00      116     134
 2014 334    61    52   20.4      5  0.706    454    512      8    547    966   1001    343     2.4  0.008     36      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.23  23.57   0.04      0     36  155.5   0.17   0.31    0.0   1.29     56    1.58    1.44    0.81    0.56    0.39    0.20    0.05    0.00    0.00      123     140
 2014 335    62    53   20.7      5  0.732    468    526      2    563    995    995    354     0.5  0.002      0      2  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.22   0.00   0.00      0      0  156.4   0.17   0.31    0.0   1.31     58    1.61    1.47    0.83    0.57    0.40    0.21    0.06    0.00    0.00      130     147
 2014 336    63    54   21.0      5  0.759    479    538      2    574   1017   1023    170     1.4  0.002      6      1  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.21  39.75   0.01      0      6  158.5   0.18   0.32    0.0   1.34     59    1.63    1.50    0.85    0.58    0.41    0.21    0.06    0.01    0.00      138     155
