*Fresh Weight Output File

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR  Year of current date of simulation
!DOY  Day of year (d)
!DAS  Days after start of simulation (d)
!PDMCD  Dry matter con. of harvested product (fraction)
!AFPWD  Average fresh fruit (pod, ear) weight (g/fruit)
!ADPWD  Average dry fruit (pod, ear) weight (g/fruit)
!PAGED  Age of oldest pod or ear (days)
!XMAGE  Required pod age for Multi-Harvest (days)
!TOSDN  Total Number of seeds (#/ha)
!TOWSD  Total Seed mass (kg/ha)
!TOSHN  Total Number of shells (#/ha)
!TOWSH  Total Shell mass (kg/ha)
!TOPOW  Total pod weight (kg/ha)
!TOFPW  Total pod (ear) fresh weight (kg/ha)
!MTFPW  Fresh weight of mature fruits (kg/ha)
!MTDPW  Dry weight of mature fruits (sd and sh)(kg/ha)
!MTDSD  Seed mass of mature fruits (kg/ha)
!MTDSH  Shell mass of mature fruits (kg/ha)
!HSHELWT  Harvested shell weight (kg/ha)
!HSDWT  Harvested seed weight (kg/ha)
!HPODWT  Harvested pod weight (kg/ha)
!HFPOW  Harvested fresh pod weight (kg/ha)
!CPODN  Cum. pod weight (kg/ha)
!CMFNM  Cum. mature fruit number (#)
!CHPDT  Cum. har. pod weight of mat. fruits (kg/ha)
!CHFPW  Cum. har. fresh weight of mat. fruits (kg/ha)
!CHNUM  Cum. harvest number (#)

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    PDMCD    AFPWD    ADPWD    PAGED    XMAGE    CHNUM    TOSHN    TOWSH    MTDSH    HSHEL    TOPOW    HPODW    CHPDT    CPODN    TOFPW    MTFPW    MTDPW    HFPOW    CHFPW    CMFNM    TOSDN    TOWSD    MTDSD    HSDWT
 2015 078   170   161      0.2     21.1      3.4     92.3     10.0       33     42.3   1277.1    464.3    464.3   1429.6    536.3   6223.9    65680     8935   3352.1    536.3   3352.1  38899.1      332   6442.2    152.5     72.1     72.1
 2015 079   171   162      0.2     18.0      2.9     93.2     10.0       33     35.9    936.3    173.7      0.0   1033.7      0.0   6223.9    66710     6461   1238.4    198.1      0.0  38899.1      335   5186.1     97.4     24.5      0.0
 2015 080   172   163      0.2     18.9      3.0     94.0     10.0       33     38.8   1059.2    334.6      0.0   1174.6      0.0   6223.9    67880     7341   2407.4    385.2      0.0  38899.1      342   5646.7    115.4     50.6      0.0
 2015 081   173   164      0.2     21.4      3.4     94.8     10.0       33     38.4   1178.5    333.6      0.0   1313.9      0.0   6223.9    69190     8212   2428.4    388.5      0.0  38899.1      349   6183.0    135.4     55.0      0.0
 2015 082   174   165      0.2     23.4      3.7     95.7     10.0       34     37.8   1256.1    444.6    444.6   1414.5    518.7   6742.5    70600     8840   3241.7    518.7   3241.7  42140.9      358   6714.2    158.4     74.1     74.1
 2015 083   175   166      0.2     22.4      3.6     96.6     10.0       34     28.6    923.4     87.0      0.0   1025.2      0.0   6742.5    71630     6408    621.2     99.4      0.0  42140.9      360   5143.4    101.8     12.4      0.0
 2015 084   176   167      0.2     24.9      4.0     97.4     10.0       34     28.6   1017.9    177.1      0.0   1138.2      0.0   6742.5    72770     7114   1283.0    205.3      0.0  42140.9      364   5143.4    120.3     28.2      0.0
 2015 085   177   168      0.2     27.0      4.3     98.2     10.0       35     28.6   1094.9    287.8    287.8   1233.3    336.0   7078.5    74000     7708   2099.8    336.0   2099.8  44240.7      370   5143.4    138.4     48.2     48.2
 2015 086   178   169      0.2     27.3      4.4     99.1     10.0       35     22.3    868.6    237.0      0.0    973.2      0.0   7078.5    74970     6083   1701.9    272.3      0.0  44240.7      375   4011.6    104.6     35.3      0.0
 2015 087   179   170      0.2     28.4      4.5     99.8     10.0       35     22.3    899.7    236.6      0.0   1013.8      0.0   7078.5    75980     6336   1713.0    274.1      0.0  44240.7      380   4011.6    114.0     37.5      0.0
